lr,train_loss_step,train_acc_step,epoch,step,val_loss,val_acc,val_auroc_macro,train_loss_epoch,train_acc_epoch
9.000000318337698e-06,1.705078125,0.0,0,9,,,,,
1.8999999156221747e-05,2.115234375,0.0,0,19,,,,,
2.9000000722589903e-05,1.648681640625,0.5,0,29,,,,,
,,,0,37,1.7420247793197632,0.1666666716337204,0.7736110687255859,,
,,,0,37,,,,1.8086001873016357,0.24561405181884766
3.899999865097925e-05,1.27099609375,0.5,1,39,,,,,
4.8999998398358e-05,1.7490234375,0.5,1,49,,,,,
5.900000178371556e-05,1.677734375,0.3333333432674408,1,59,,,,,
6.900000153109431e-05,2.0087890625,0.0,1,69,,,,,
,,,1,75,1.7641465663909912,0.1666666716337204,0.8200967907905579,,
,,,1,75,,,,1.8138715028762817,0.29385966062545776
7.899999764049426e-05,2.4521484375,0.0,2,79,,,,,
8.900000102585182e-05,0.920166015625,0.3333333432674408,2,89,,,,,
9.899999713525176e-05,0.677734375,1.0,2,99,,,,,
9.999854228226468e-05,2.32666015625,0.0,2,109,,,,,
,,,2,113,1.6509398221969604,0.1666666716337204,0.8194023966789246,,
,,,2,113,,,,1.674564003944397,0.25438597798347473
9.999349276768044e-05,1.31787109375,0.0,3,119,,,,,
9.998484165407717e-05,1.71337890625,0.0,3,129,,,,,
9.997258894145489e-05,2.2939453125,0.0,3,139,,,,,
9.995673462981358e-05,0.81201171875,0.3333333432674408,3,149,,,,,
,,,3,151,1.5612385272979736,0.277777761220932,0.8179187774658203,,
,,,3,151,,,,1.5011659860610962,0.31578946113586426
9.993727144319564e-05,1.56787109375,0.5,4,159,,,,,
9.99142139335163e-05,1.078857421875,0.3333333432674408,4,169,,,,,
9.988755482481793e-05,0.840087890625,1.0,4,179,,,,,
9.985730139305815e-05,0.273681640625,1.0,4,189,,,,,
,,,4,189,1.4866434335708618,0.3055555820465088,0.8207807540893555,,
,,,4,189,,,,1.4471981525421143,0.40570175647735596
9.982345363823697e-05,3.5986328125,0.0,5,199,,,,,
9.9786018836312e-05,0.5721435546875,1.0,5,209,,,,,
9.974498971132562e-05,1.45556640625,0.0,5,219,,,,,
,,,5,227,1.495987057685852,0.3611111342906952,0.8433502316474915,,
,,,5,227,,,,1.461153507232666,0.3333333432674408
9.970037353923544e-05,1.28466796875,0.5,6,229,,,,,
9.965217759599909e-05,2.259765625,0.0,6,239,,,,,
9.960039460565895e-05,0.945068359375,1.0,6,249,,,,,
9.954503912013024e-05,1.442138671875,0.5,6,259,,,,,
,,,6,265,1.2768148183822632,0.4583333134651184,0.8334911465644836,,
,,,6,265,,,,1.3956507444381714,0.42105260491371155
9.948611841537058e-05,2.25146484375,0.0,7,269,,,,,
9.942362521542236e-05,0.658203125,1.0,7,279,,,,,
9.935756679624319e-05,2.4580078125,0.3333333432674408,7,289,,,,,
9.928795043379068e-05,0.673583984375,0.5,7,299,,,,,
,,,7,303,1.2447781562805176,0.3888888955116272,0.8513152003288269,,
,,,7,303,,,,1.3190778493881226,0.40789473056793213
9.921478340402246e-05,0.7437744140625,0.5,8,309,,,,,
9.91380657069385e-05,1.78955078125,0.0,8,319,,,,,
9.905781189445406e-05,1.25396728515625,0.3333333432674408,8,329,,,,,
9.897401469061151e-05,0.876708984375,0.3333333432674408,8,339,,,,,
,,,8,341,1.0877007246017456,0.4722222089767456,0.8721906542778015,,
,,,8,341,,,,1.3572057485580444,0.3706139624118805
9.888668864732608e-05,1.2451171875,0.3333333432674408,9,349,,,,,
9.879584104055539e-05,1.2802734375,0.25,9,359,,,,,
9.870147187029943e-05,0.768310546875,1.0,9,369,,,,,
9.860358841251582e-05,0.69091796875,1.0,9,379,,,,,
,,,9,379,1.125644326210022,0.5277777910232544,0.8589856624603271,,
,,,9,379,,,,1.3277372121810913,0.4254385530948639
9.850220521911979e-05,1.115966796875,0.3333333432674408,10,389,,,,,
9.839732956606895e-05,1.7021484375,0.0,10,399,,,,,
9.82889614533633e-05,1.137451171875,0.0,10,409,,,,,
,,,10,417,1.1232808828353882,0.4166666567325592,0.8404461741447449,,
