lr,train_loss_step,train_acc_step,epoch,step,val_loss,val_acc,val_auroc_macro,train_loss_epoch,train_acc_epoch
9.000000318337698e-06,2.1552734375,0.0,0,9,,,,,
1.8999999156221747e-05,1.48095703125,0.5,0,19,,,,,
2.9000000722589903e-05,1.91845703125,0.5,0,29,,,,,
,,,0,37,1.7214356660842896,0.18333333730697632,0.7113215327262878,,
,,,0,37,,,,1.8126542568206787,0.25438594818115234
3.899999865097925e-05,1.12109375,0.5,1,39,,,,,
4.8999998398358e-05,1.593505859375,0.5,1,49,,,,,
5.900000178371556e-05,1.26220703125,1.0,1,59,,,,,
6.900000153109431e-05,1.96435546875,0.0,1,69,,,,,
,,,1,75,1.7510986328125,0.1666666716337204,0.8209385871887207,,
,,,1,75,,,,1.7799265384674072,0.2697368562221527
7.899999764049426e-05,2.00439453125,0.5,2,79,,,,,
8.900000102585182e-05,2.1015625,0.0,2,89,,,,,
9.899999713525176e-05,1.50048828125,0.0,2,99,,,,,
9.999854228226468e-05,2.828125,0.0,2,109,,,,,
,,,2,113,1.823006510734558,0.1944444477558136,0.7559764385223389,,
,,,2,113,,,,1.8984967470169067,0.2214912325143814
9.999349276768044e-05,1.53564453125,0.0,3,119,,,,,
9.998484165407717e-05,2.7099609375,0.0,3,129,,,,,
9.997258894145489e-05,0.98193359375,0.5,3,139,,,,,
9.995673462981358e-05,1.72265625,0.0,3,149,,,,,
,,,3,151,1.4095865488052368,0.402777761220932,0.8132786750793457,,
,,,3,151,,,,1.7308526039123535,0.26754388213157654
9.993727144319564e-05,1.2103271484375,0.3333333432674408,4,159,,,,,
9.99142139335163e-05,1.376953125,1.0,4,169,,,,,
9.988755482481793e-05,0.88873291015625,0.3333333432674408,4,179,,,,,
9.985730139305815e-05,1.0693359375,1.0,4,189,,,,,
,,,4,189,1.388386845588684,0.3472222089767456,0.8187289237976074,,
,,,4,189,,,,1.4756214618682861,0.2785087525844574
9.982345363823697e-05,2.2861328125,0.0,5,199,,,,,
9.9786018836312e-05,1.271240234375,0.0,5,209,,,,,
9.974498971132562e-05,1.1419677734375,0.3333333432674408,5,219,,,,,
,,,5,227,1.5078397989273071,0.3888888955116272,0.8158774971961975,,
,,,5,227,,,,1.5477036237716675,0.28728070855140686
9.970037353923544e-05,1.35986328125,0.3333333432674408,6,229,,,,,
9.965217759599909e-05,1.0616455078125,0.5,6,239,,,,,
9.960039460565895e-05,3.50341796875,0.0,6,249,,,,,
9.954503912013024e-05,1.1884765625,0.3333333432674408,6,259,,,,,
,,,6,265,1.6188151836395264,0.277777761220932,0.8250420689582825,,
,,,6,265,,,,1.450825572013855,0.33771929144859314
9.948611841537058e-05,2.09765625,0.0,7,269,,,,,
9.942362521542236e-05,1.84765625,0.0,7,279,,,,,
9.935756679624319e-05,1.45263671875,0.3333333432674408,7,289,,,,,
9.928795043379068e-05,1.3125,0.3333333432674408,7,299,,,,,
,,,7,303,1.4402804374694824,0.2638888955116272,0.8325021266937256,,
,,,7,303,,,,1.507652759552002,0.3486842215061188
9.921478340402246e-05,2.367431640625,0.5,8,309,,,,,
9.91380657069385e-05,1.50830078125,0.0,8,319,,,,,
9.905781189445406e-05,0.148193359375,1.0,8,329,,,,,
9.897401469061151e-05,0.7496337890625,1.0,8,339,,,,,
,,,8,341,1.442043662071228,0.375,0.8466224670410156,,
,,,8,341,,,,1.462051510810852,0.3179824650287628
9.888668864732608e-05,1.129638671875,0.25,9,349,,,,,
9.879584104055539e-05,1.6396484375,0.5,9,359,,,,,
9.870147187029943e-05,2.6103515625,0.0,9,369,,,,,
9.860358841251582e-05,1.1171875,1.0,9,379,,,,,
,,,9,379,1.2865023612976074,0.375,0.8548926711082458,,
,,,9,379,,,,1.3934582471847534,0.3552631437778473
9.850220521911979e-05,1.79473876953125,0.5,10,389,,,,,
9.839732956606895e-05,1.44677734375,0.0,10,399,,,,,
9.82889614533633e-05,0.9013671875,0.3333333432674408,10,409,,,,,
,,,10,417,1.3090616464614868,0.347222238779068,0.8410564064979553,,
,,,10,417,,,,1.3619818687438965,0.34429821372032166
9.817710815696046e-05,0.94140625,0.3333333432674408,11,419,,,,,
9.806178422877565e-05,1.75439453125,0.0,11,429,,,,,
9.794299694476649e-05,1.26025390625,0.25,11,439,,,,,
9.78207535808906e-05,0.8583602905273438,0.3333333432674408,11,449,,,,,
,,,11,455,1.227016806602478,0.4444444477558136,0.8818812966346741,,
,,,11,455,,,,1.4037063121795654,0.42763155698776245
9.769506141310558e-05,0.51513671875,1.0,12,459,,,,,
9.756592771736905e-05,0.82733154296875,0.5,12,469,,,,,
9.743336704559624e-05,1.421875,0.0,12,479,,,,,
9.729738667374477e-05,2.49853515625,0.0,12,489,,,,,
,,,12,493,1.3204007148742676,0.4027777910232544,0.8617319464683533,,
,,,12,493,,,,1.3359342813491821,0.3969297707080841
9.715800115372986e-05,0.892333984375,0.25,13,499,,,,,
9.70152104855515e-05,1.0577392578125,0.3333333432674408,13,509,,,,,
9.686902922112495e-05,1.16162109375,0.3333333432674408,13,519,,,,,
9.67194719123654e-05,0.83837890625,0.5,13,529,,,,,
,,,13,531,1.2307941913604736,0.5833333730697632,0.8751473426818848,,
,,,13,531,,,,1.3312846422195435,0.3223683834075928
9.65665458352305e-05,1.45556640625,0.0,14,539,,,,,
9.641026554163545e-05,1.458984375,0.0,14,549,,,,,
9.625063830753788e-05,1.349853515625,0.5,14,559,,,,,
9.60876714088954e-05,3.79296875,0.0,14,569,,,,,
,,,14,569,1.4263783693313599,0.3472222089767456,0.8657934069633484,,
,,,14,569,,,,1.3021587133407593,0.4122806489467621
9.592138667358086e-05,1.274658203125,0.3333333432674408,15,579,,,,,
9.575179137755185e-05,1.48638916015625,0.5,15,589,,,,,
9.557889279676601e-05,0.826904296875,1.0,15,599,,,,,
,,,15,607,1.549018144607544,0.305555522441864,0.8485269546508789,,
,,,15,607,,,,1.2912019491195679,0.39254382252693176
9.540271275909618e-05,0.625732421875,1.0,16,609,,,,,
9.522325854049996e-05,2.29345703125,0.0,16,619,,,,,
9.504054469289258e-05,2.5927734375,0.0,16,629,,,,,
9.485458576818928e-05,0.37420654296875,1.0,16,639,,,,,
,,,16,645,1.2385016679763794,0.4027777910232544,0.8716961741447449,,
,,,16,645,,,,1.3893190622329712,0.39473679661750793
9.466538904234767e-05,1.9482421875,0.0,17,649,,,,,
9.447297634324059e-05,1.7724609375,0.0,17,659,,,,,
9.427735494682565e-05,1.3990478515625,0.25,17,669,,,,,
9.407853940501809e-05,0.850830078125,0.3333333432674408,17,679,,,,,
,,,17,683,1.2466871738433838,0.4305555820465088,0.8672453761100769,,
,,,17,683,,,,1.2549389600753784,0.3903508484363556
9.387655154569075e-05,0.963623046875,0.3333333432674408,18,689,,,,,
9.367139136884362e-05,1.983642578125,0.3333333432674408,18,699,,,,,
9.346309525426477e-05,2.810546875,0.0,18,709,,,,,
9.32516559259966e-05,1.09521484375,0.3333333432674408,18,719,,,,,
,,,18,721,1.3323363065719604,0.4027777910232544,0.860690176486969,,
,,,18,721,,,,1.2946138381958008,0.3486842215061188
9.303710248786956e-05,1.46044921875,0.5,19,729,,,,,
9.281944221584126e-05,0.8223876953125,0.5,19,739,,,,,
9.259869693778455e-05,0.69915771484375,1.0,19,749,,,,,
9.237488848157227e-05,1.5244140625,0.0,19,759,,,,,
,,,19,759,1.1496031284332275,0.4444444477558136,0.8920981287956238,,
,,,19,759,,,,1.1826791763305664,0.5175438523292542
9.214801684720442e-05,0.7313232421875,0.5,20,769,,,,,
9.191810386255383e-05,1.4892578125,0.5,20,779,,,,,
9.168517863145098e-05,1.190673828125,0.5,20,789,,,,,
,,,20,797,1.134482502937317,0.5694444179534912,0.8881208300590515,,
,,,20,797,,,,1.1748511791229248,0.46491220593452454
9.144924115389585e-05,0.849365234375,0.3333333432674408,21,799,,,,,
9.12103132577613e-05,1.3271484375,0.0,21,809,,,,,
9.096842404687777e-05,0.8941650390625,0.25,21,819,,,,,
9.072357352124527e-05,0.45111083984375,1.0,21,829,,,,,
,,,21,835,1.2280265092849731,0.4861111044883728,0.8819233775138855,,
,,,21,835,,,,1.1360524892807007,0.4254385232925415
9.047579078469425e-05,1.6685791015625,0.3333333432674408,22,839,,,,,
9.022508311318234e-05,0.726806640625,1.0,22,849,,,,,
8.997148688649759e-05,0.6842041015625,1.0,22,859,,,,,
8.971500210464001e-05,0.8961181640625,0.3333333432674408,22,869,,,,,
,,,22,873,1.0886223316192627,0.5277777910232544,0.8803661465644836,,
,,,22,873,,,,1.2023200988769531,0.42105260491371155
8.945565059548244e-05,1.69970703125,0.0,23,879,,,,,
8.919346146285534e-05,2.29931640625,0.0,23,889,,,,,
8.892844198271632e-05,1.26019287109375,0.3333333432674408,23,899,,,,,
8.866062125889584e-05,1.07080078125,0.3333333432674408,23,909,,,,,
,,,23,911,1.1457781791687012,0.5694444179534912,0.8777041435241699,,
,,,23,911,,,,1.1471121311187744,0.44078946113586426
8.839000656735152e-05,0.694580078125,1.0,24,919,,,,,
8.811663428787142e-05,1.8834228515625,0.25,24,929,,,,,
8.784050442045555e-05,0.544647216796875,1.0,24,939,,,,,
8.756165334489197e-05,0.6328125,1.0,24,949,,,,,
,,,24,949,1.0915491580963135,0.5555555820465088,0.8898043036460876,,
,,,24,949,,,,1.0643643140792847,0.5679824948310852
8.72800883371383e-05,0.809356689453125,0.3333333432674408,25,959,,,,,
8.699583850102499e-05,1.242919921875,0.3333333432674408,25,969,,,,,
8.670891838846728e-05,0.4959716796875,1.0,25,979,,,,,
,,,25,987,1.0335066318511963,0.4861111044883728,0.8979061245918274,,
,,,25,987,,,,1.0031265020370483,0.5877193212509155
8.641935710329562e-05,0.154266357421875,1.0,26,989,,,,,
