lr,train_loss_step,train_acc_step,epoch,step,val_loss,val_acc,val_auroc_macro,train_loss_epoch,train_acc_epoch
9.000000318337698e-06,2.3330078125,0.0,0,9,,,,,
1.8999999156221747e-05,1.90087890625,0.0,0,19,,,,,
2.9000000722589903e-05,0.758056640625,1.0,0,29,,,,,
,,,0,37,1.7395901679992676,0.1666666716337204,0.6945496201515198,,
,,,0,37,,,,1.796518325805664,0.25877195596694946
3.899999865097925e-05,2.033203125,0.0,1,39,,,,,
4.8999998398358e-05,1.68505859375,0.0,1,49,,,,,
5.900000178371556e-05,1.379150390625,0.5,1,59,,,,,
6.900000153109431e-05,1.3642578125,0.5,1,69,,,,,
,,,1,75,1.54583740234375,0.1666666716337204,0.767676830291748,,
,,,1,75,,,,1.7647900581359863,0.27412277460098267
7.899999764049426e-05,2.47900390625,0.0,2,79,,,,,
8.900000102585182e-05,1.12841796875,1.0,2,89,,,,,
9.899999713525176e-05,1.90478515625,0.0,2,99,,,,,
9.999854228226468e-05,1.41021728515625,0.5,2,109,,,,,
,,,2,113,1.3512709140777588,0.3888888955116272,0.8099010586738586,,
,,,2,113,,,,1.5617265701293945,0.36403506994247437
9.999349276768044e-05,2.046875,0.0,3,119,,,,,
9.998484165407717e-05,1.373291015625,0.3333333432674408,3,129,,,,,
9.997258894145489e-05,1.6455078125,0.0,3,139,,,,,
9.995673462981358e-05,1.967529296875,0.3333333432674408,3,149,,,,,
,,,3,151,1.413467288017273,0.3055555522441864,0.8248421549797058,,
,,,3,151,,,,1.5308469533920288,0.4649122655391693
9.993727144319564e-05,1.080322265625,0.3333333432674408,4,159,,,,,
9.99142139335163e-05,0.07106781005859375,1.0,4,169,,,,,
9.988755482481793e-05,1.66357421875,0.0,4,179,,,,,
9.985730139305815e-05,1.1728515625,0.0,4,189,,,,,
,,,4,189,1.2419246435165405,0.4861111044883728,0.840688169002533,,
,,,4,189,,,,1.3846787214279175,0.35964906215667725
9.982345363823697e-05,1.92340087890625,0.3333333432674408,5,199,,,,,
9.9786018836312e-05,2.46728515625,0.0,5,209,,,,,
9.974498971132562e-05,0.932373046875,1.0,5,219,,,,,
,,,5,227,1.129626750946045,0.5,0.8467276692390442,,
,,,5,227,,,,1.4662590026855469,0.429824560880661
