lr,train_loss_step,train_acc_step,epoch,step,val_loss,val_acc,val_auroc_macro,train_loss_epoch,train_acc_epoch
9.000000318337698e-06,1.25927734375,1.0,0,9,,,,,
1.8999999156221747e-05,2.197265625,0.0,0,19,,,,,
2.9000000722589903e-05,1.56201171875,0.0,0,29,,,,,
,,,0,37,1.7132703065872192,0.14166666567325592,0.803209125995636,,
,,,0,37,,,,1.709742546081543,0.3289473354816437
3.899999865097925e-05,1.30322265625,0.0,1,39,,,,,
4.8999998398358e-05,2.0390625,0.0,1,49,,,,,
5.900000178371556e-05,2.45703125,0.0,1,59,,,,,
6.900000153109431e-05,1.16064453125,0.5,1,69,,,,,
,,,1,75,1.4249403476715088,0.2777777910232544,0.8418981432914734,,
,,,1,75,,,,1.8028309345245361,0.21052633225917816
7.899999764049426e-05,1.25048828125,0.25,2,79,,,,,
8.900000102585182e-05,1.56982421875,0.3333333432674408,2,89,,,,,
9.899999713525176e-05,1.3173828125,0.5,2,99,,,,,
9.999854228226468e-05,1.37158203125,0.25,2,109,,,,,
,,,2,113,1.3224282264709473,0.3194444477558136,0.8292613625526428,,
,,,2,113,,,,1.5099965333938599,0.32894736528396606
9.999349276768044e-05,0.379638671875,1.0,3,119,,,,,
9.998484165407717e-05,1.21435546875,0.0,3,129,,,,,
9.997258894145489e-05,2.626953125,0.0,3,139,,,,,
9.995673462981358e-05,0.0575714111328125,1.0,3,149,,,,,
,,,3,151,1.1747369766235352,0.3333333432674408,0.8639835715293884,,
,,,3,151,,,,1.4540103673934937,0.3552631437778473
9.993727144319564e-05,1.30462646484375,0.5,4,159,,,,,
9.99142139335163e-05,0.73846435546875,1.0,4,169,,,,,
9.988755482481793e-05,1.3018798828125,0.3333333432674408,4,179,,,,,
9.985730139305815e-05,0.38134765625,1.0,4,189,,,,,
,,,4,189,1.15903639793396,0.4166666865348816,0.8811132311820984,,
,,,4,189,,,,1.226487159729004,0.48245611786842346
9.982345363823697e-05,1.034912109375,0.3333333432674408,5,199,,,,,
9.9786018836312e-05,0.722900390625,0.3333333432674408,5,209,,,,,
9.974498971132562e-05,0.99761962890625,0.3333333432674408,5,219,,,,,
,,,5,227,1.328125,0.3611111044883728,0.886353075504303,,
,,,5,227,,,,1.3659753799438477,0.38815784454345703
9.970037353923544e-05,0.620849609375,1.0,6,229,,,,,
9.965217759599909e-05,0.997314453125,0.25,6,239,,,,,
9.960039460565895e-05,1.346923828125,0.5,6,249,,,,,
9.954503912013024e-05,0.41552734375,1.0,6,259,,,,,
,,,6,265,1.4126349687576294,0.3611111044883728,0.8608901500701904,,
,,,6,265,,,,1.255415439605713,0.3969298303127289
9.948611841537058e-05,4.646484375,0.0,7,269,,,,,
9.942362521542236e-05,0.7159423828125,1.0,7,279,,,,,
9.935756679624319e-05,1.21435546875,0.0,7,289,,,,,
9.928795043379068e-05,1.3604736328125,0.3333333432674408,7,299,,,,,
,,,7,303,1.097249984741211,0.444444477558136,0.8541561961174011,,
,,,7,303,,,,1.3021708726882935,0.4868420958518982
9.921478340402246e-05,1.36865234375,0.0,8,309,,,,,
9.91380657069385e-05,1.199951171875,0.5,8,319,,,,,
9.905781189445406e-05,0.61334228515625,0.3333333432674408,8,329,,,,,
