lr,train_loss_step,train_acc_step,epoch,step,val_loss,val_acc,val_auroc_macro,train_loss_epoch,train_acc_epoch
9.000000318337698e-06,1.650390625,0.3333333432674408,0,9,,,,,
1.8999999156221747e-05,1.78271484375,0.0,0,19,,,,,
2.9000000722589903e-05,1.69384765625,0.0,0,29,,,,,
,,,0,37,1.6478679180145264,0.1666666716337204,0.8334805965423584,,
,,,0,37,,,,1.7690428495407104,0.24561405181884766
3.899999865097925e-05,2.4892578125,0.0,1,39,,,,,
4.8999998398358e-05,1.74072265625,0.0,1,49,,,,,
5.900000178371556e-05,1.91650390625,0.0,1,59,,,,,
6.900000153109431e-05,2.150390625,0.0,1,69,,,,,
,,,1,75,1.6658121347427368,0.2777777910232544,0.8328493237495422,,
,,,1,75,,,,1.7295629978179932,0.2872806787490845
7.899999764049426e-05,1.583984375,0.3333333432674408,2,79,,,,,
8.900000102585182e-05,1.06005859375,1.0,2,89,,,,,
9.899999713525176e-05,1.05029296875,0.25,2,99,,,,,
9.999854228226468e-05,1.4912109375,0.5,2,109,,,,,
,,,2,113,1.8605891466140747,0.25,0.8201178908348083,,
,,,2,113,,,,1.4901251792907715,0.3618420958518982
9.999349276768044e-05,1.1708984375,0.0,3,119,,,,,
9.998484165407717e-05,1.98291015625,0.0,3,129,,,,,
9.997258894145489e-05,0.39599609375,1.0,3,139,,,,,
9.995673462981358e-05,0.892822265625,0.25,3,149,,,,,
,,,3,151,1.3969320058822632,0.3055555522441864,0.8025884032249451,,
,,,3,151,,,,1.8813891410827637,0.28289473056793213
9.993727144319564e-05,1.3046875,0.5,4,159,,,,,
9.99142139335163e-05,2.177734375,0.0,4,169,,,,,
9.988755482481793e-05,1.076171875,0.5,4,179,,,,,
9.985730139305815e-05,2.46484375,0.0,4,189,,,,,
,,,4,189,1.3443468809127808,0.3611111044883728,0.8134153485298157,,
,,,4,189,,,,1.5408596992492676,0.3771929144859314
9.982345363823697e-05,1.39892578125,0.0,5,199,,,,,
9.9786018836312e-05,1.828125,0.5,5,209,,,,,
9.974498971132562e-05,1.0205078125,0.25,5,219,,,,,
