lr,train_loss_step,train_acc_step,epoch,step,val_loss,val_acc,val_auroc_macro,train_loss_epoch,train_acc_epoch
9.000000318337698e-06,1.744140625,0.5,0,9,,,,,
1.8999999156221747e-05,1.7236328125,0.5,0,19,,,,,
2.9000000722589903e-05,2.5869140625,0.0,0,29,,,,,
3.899999865097925e-05,1.22314453125,0.5,0,39,,,,,
4.8999998398358e-05,1.66650390625,0.5,0,49,,,,,
5.900000178371556e-05,1.618896484375,0.3333333432674408,0,59,,,,,
6.900000153109431e-05,1.46142578125,0.5,0,69,,,,,
7.899999764049426e-05,1.544677734375,0.5,0,79,,,,,
8.900000102585182e-05,2.209228515625,0.0,0,89,,,,,
9.899999713525176e-05,2.27099609375,0.0,0,99,,,,,
9.999999747378752e-05,1.661376953125,0.5,0,109,,,,,
9.99999901978299e-05,3.822265625,0.0,0,119,,,,,
9.999997564591467e-05,1.3349609375,0.3333333432674408,0,129,,,,,
9.999996109399945e-05,1.3359375,0.25,0,139,,,,,
9.99999392661266e-05,0.39697265625,1.0,0,149,,,,,
9.999991743825376e-05,2.4775390625,0.0,0,159,,,,,
9.999988105846569e-05,1.53173828125,0.0,0,169,,,,,
9.999984467867762e-05,1.29296875,0.5,0,179,,,,,
9.999980102293193e-05,0.225830078125,1.0,0,189,,,,,
9.999975736718625e-05,0.9111328125,1.0,0,199,,,,,
,,,0,199,1.4519236087799072,0.2934682369232178,0.7881304621696472,,
,,,0,199,,,,1.586574673652649,0.37333327531814575
9.999970643548295e-05,0.78985595703125,0.5,1,209,,,,,
9.999964822782204e-05,2.36572265625,0.0,1,219,,,,,
9.999959002016112e-05,1.00048828125,0.5,1,229,,,,,
9.99995245365426e-05,1.85009765625,0.5,1,239,,,,,
9.999945177696645e-05,1.08984375,0.5,1,249,,,,,
9.99993717414327e-05,1.62548828125,0.0,1,259,,,,,
9.999929170589894e-05,1.6318359375,0.0,1,269,,,,,
9.999920439440757e-05,0.44268798828125,1.0,1,279,,,,,
9.99991170829162e-05,0.958251953125,1.0,1,289,,,,,
9.999902249546722e-05,0.6875,1.0,1,299,,,,,
9.999892063206062e-05,0.8126220703125,0.25,1,309,,,,,
9.99988114926964e-05,1.38720703125,0.3333333432674408,1,319,,,,,
9.999870235333219e-05,1.100830078125,0.3333333432674408,1,329,,,,,
9.999858593801036e-05,1.2333984375,0.3333333432674408,1,339,,,,,
9.999846952268854e-05,0.53271484375,1.0,1,349,,,,,
9.999833855545148e-05,1.07568359375,0.5,1,359,,,,,
9.999820758821443e-05,0.79931640625,1.0,1,369,,,,,
9.999807662097737e-05,1.27734375,0.5,1,379,,,,,
9.99979383777827e-05,1.9464111328125,0.3333333432674408,1,389,,,,,
9.999779285863042e-05,1.52734375,0.0,1,399,,,,,
,,,1,399,1.2691247463226318,0.3273211121559143,0.8189162611961365,,
,,,1,399,,,,1.344427466392517,0.4308333694934845
9.999764006352052e-05,1.13037109375,1.0,2,409,,,,,
9.999748726841062e-05,0.73968505859375,0.25,2,419,,,,,
9.999732719734311e-05,1.046875,0.5,2,429,,,,,
9.999715985031798e-05,1.837890625,0.0,2,439,,,,,
9.999698522733524e-05,0.4468994140625,1.0,2,449,,,,,
9.99968106043525e-05,2.0439453125,0.0,2,459,,,,,
9.999663598136976e-05,1.793701171875,0.3333333432674408,2,469,,,,,
9.99964468064718e-05,1.2548828125,0.3333333432674408,2,479,,,,,
9.999625763157383e-05,0.4859619140625,1.0,2,489,,,,,
9.999606118071824e-05,1.4091796875,0.0,2,499,,,,,
9.999586472986266e-05,1.4345703125,0.3333333432674408,2,509,,,,,
9.999566100304946e-05,1.494140625,0.0,2,519,,,,,
9.999545000027865e-05,0.27642822265625,1.0,2,529,,,,,
9.999523172155023e-05,1.17987060546875,0.5,2,539,,,,,
9.99950134428218e-05,1.3436279296875,0.5,2,549,,,,,
9.999478788813576e-05,0.9688720703125,0.5,2,559,,,,,
9.999456233344972e-05,0.853759765625,0.3333333432674408,2,569,,,,,
9.999432950280607e-05,1.3623046875,0.5,2,579,,,,,
9.99940893962048e-05,0.7568359375,0.3333333432674408,2,589,,,,,
9.999384201364592e-05,0.409423828125,1.0,2,599,,,,,
,,,2,599,1.3551141023635864,0.36341336369514465,0.819462776184082,,
,,,2,599,,,,1.244438886642456,0.4391668736934662
9.999359463108703e-05,0.7401123046875,0.3333333432674408,3,609,,,,,
9.999333997257054e-05,0.8157958984375,1.0,3,619,,,,,
9.999307803809643e-05,0.155517578125,1.0,3,629,,,,,
9.999281610362232e-05,1.8360595703125,0.3333333432674408,3,639,,,,,
9.999254689319059e-05,0.74462890625,1.0,3,649,,,,,
9.999227768275887e-05,1.1151123046875,0.3333333432674408,3,659,,,,,
9.999199392041191e-05,0.84326171875,1.0,3,669,,,,,
9.999171015806496e-05,0.766143798828125,0.3333333432674408,3,679,,,,,
9.999142639571801e-05,0.9677734375,0.3333333432674408,3,689,,,,,
9.999112808145583e-05,0.36285400390625,1.0,3,699,,,,,
9.999082976719365e-05,1.77294921875,0.0,3,709,,,,,
9.999052417697385e-05,1.1619873046875,0.5,3,719,,,,,
9.999021858675405e-05,0.5914306640625,1.0,3,729,,,,,
9.998990572057664e-05,2.02880859375,0.0,3,739,,,,,
9.998958557844162e-05,1.56298828125,0.0,3,749,,,,,
9.99892654363066e-05,2.07421875,0.0,3,759,,,,,
9.998893801821396e-05,1.8037109375,0.0,3,769,,,,,
9.99886033241637e-05,0.9404296875,0.3333333432674408,3,779,,,,,
9.998826135415584e-05,2.50634765625,0.0,3,789,,,,,
9.998791938414797e-05,0.783203125,1.0,3,799,,,,,
,,,3,799,1.2946914434432983,0.37293657660484314,0.8203158974647522,,
,,,3,799,,,,1.1757546663284302,0.48458343744277954
9.998757013818249e-05,0.1121673583984375,1.0,4,809,,,,,
9.998722089221701e-05,1.06884765625,0.5,4,819,,,,,
9.998686437029392e-05,0.3648681640625,1.0,4,829,,,,,
9.99865005724132e-05,0.39581298828125,1.0,4,839,,,,,
9.998612949857488e-05,1.419464111328125,0.5,4,849,,,,,
9.998575842473656e-05,2.375,0.0,4,859,,,,,
9.998538007494062e-05,0.270263671875,1.0,4,869,,,,,
9.998499444918707e-05,2.09716796875,0.3333333432674408,4,879,,,,,
9.998460882343352e-05,1.5888671875,0.3333333432674408,4,889,,,,,
9.998421592172235e-05,0.37322998046875,1.0,4,899,,,,,
9.998382302001119e-05,1.2783203125,0.5,4,909,,,,,
9.998341556638479e-05,0.6507568359375,1.0,4,919,,,,,
9.99830081127584e-05,1.298583984375,0.3333333432674408,4,929,,,,,
9.9982600659132e-05,1.077392578125,0.3333333432674408,4,939,,,,,
9.998217865359038e-05,1.14501953125,0.3333333432674408,4,949,,,,,
9.998175664804876e-05,0.7109375,0.3333333432674408,4,959,,,,,
9.998132736654952e-05,1.3558349609375,0.5,4,969,,,,,
9.998089808505028e-05,0.20574951171875,1.0,4,979,,,,,
9.998046152759343e-05,0.8173828125,1.0,4,989,,,,,
9.998001769417897e-05,0.11505126953125,1.0,4,999,,,,,
,,,4,999,1.1800235509872437,0.42129838466644287,0.8528653979301453,,
,,,4,999,,,,1.1232706308364868,0.49500012397766113
9.99795738607645e-05,1.0328369140625,0.5,5,1009,,,,,
9.997912275139242e-05,0.987548828125,1.0,5,1019,,,,,
9.997866436606273e-05,2.1201171875,0.0,5,1029,,,,,
9.997820598073304e-05,1.1005859375,0.3333333432674408,5,1039,,,,,
9.997773304348812e-05,0.5304718017578125,1.0,5,1049,,,,,
9.997726738220081e-05,0.30303955078125,1.0,5,1059,,,,,
9.997678716899827e-05,1.96728515625,0.0,5,1069,,,,,
9.997630695579574e-05,1.157470703125,0.25,5,1079,,,,,
9.997581946663558e-05,1.56787109375,0.0,5,1089,,,,,
9.997532470151782e-05,0.23309326171875,1.0,5,1099,,,,,
9.997482993640006e-05,0.9068603515625,0.3333333432674408,5,1109,,,,,
9.997432789532468e-05,3.8349609375,0.0,5,1119,,,,,
9.99738258542493e-05,0.623046875,1.0,5,1129,,,,,
9.99733165372163e-05,0.94189453125,1.0,5,1139,,,,,
9.99727999442257e-05,0.53338623046875,1.0,5,1149,,,,,
9.997227607527748e-05,1.66015625,0.5,5,1159,,,,,
9.997175220632926e-05,0.65576171875,1.0,5,1169,,,,,
9.997122106142342e-05,0.4178924560546875,1.0,5,1179,,,,,
9.997068264055997e-05,0.474853515625,1.0,5,1189,,,,,
9.997014421969652e-05,0.1685791015625,1.0,5,1199,,,,,
,,,5,1199,1.5438748598098755,0.415575236082077,0.8356124758720398,,
,,,5,1199,,,,1.082126498222351,0.5266667008399963
9.996959852287546e-05,1.83056640625,0.0,6,1209,,,,,
9.996904555009678e-05,2.0712890625,0.0,6,1219,,,,,
9.99684925773181e-05,2.054931640625,0.0,6,1229,,,,,
9.996793232858181e-05,0.136871337890625,1.0,6,1239,,,,,
9.99673648038879e-05,0.38995361328125,1.0,6,1249,,,,,
9.996679000323638e-05,0.2557373046875,1.0,6,1259,,,,,
9.996621520258486e-05,0.51202392578125,1.0,6,1269,,,,,
9.996564040193334e-05,3.6826171875,0.0,6,1279,,,,,
9.99650510493666e-05,0.84033203125,0.25,6,1289,,,,,
9.996446169679984e-05,0.873046875,0.3333333432674408,6,1299,,,,,
9.996386506827548e-05,0.4190673828125,1.0,6,1309,,,,,
9.996326843975112e-05,2.744140625,0.0,6,1319,,,,,
9.996266453526914e-05,0.4993896484375,1.0,6,1329,,,,,
9.996205335482955e-05,1.22021484375,0.3333333432674408,6,1339,,,,,
9.996143489843234e-05,0.25994873046875,1.0,6,1349,,,,,
9.996081644203514e-05,0.715087890625,1.0,6,1359,,,,,
9.996019070968032e-05,0.1103515625,1.0,6,1369,,,,,
9.99595649773255e-05,1.444091796875,0.25,6,1379,,,,,
9.995892469305545e-05,0.766845703125,1.0,6,1389,,,,,
9.99582844087854e-05,1.1640625,0.0,6,1399,,,,,
,,,6,1399,1.2386425733566284,0.6639676094055176,0.8723046183586121,,
,,,6,1399,,,,1.054052710533142,0.5425001978874207
9.995764412451535e-05,1.425048828125,0.25,7,1409,,,,,
9.995699656428769e-05,0.852783203125,0.5,7,1419,,,,,
9.995634172810242e-05,0.19281005859375,1.0,7,1429,,,,,
9.995567961595953e-05,0.2496337890625,1.0,7,1439,,,,,
9.995501750381663e-05,0.069305419921875,1.0,7,1449,,,,,
9.995434811571613e-05,0.9343719482421875,0.5,7,1459,,,,,
9.995367145165801e-05,3.2587890625,0.0,7,1469,,,,,
9.995299478759989e-05,1.1114501953125,0.3333333432674408,7,1479,,,,,
9.995231084758416e-05,0.939208984375,0.3333333432674408,7,1489,,,,,
9.995161963161081e-05,1.218414306640625,0.3333333432674408,7,1499,,,,,
9.995092841563746e-05,0.44183349609375,1.0,7,1509,,,,,
9.995022264774889e-05,0.54833984375,1.0,7,1519,,,,,
9.994952415581793e-05,1.4217529296875,0.5,7,1529,,,,,
9.994881111197174e-05,1.751220703125,0.3333333432674408,7,1539,,,,,
9.994809806812555e-05,0.860595703125,1.0,7,1549,,,,,
9.994737774832174e-05,0.147674560546875,1.0,7,1559,,,,,
9.994665742851794e-05,1.62261962890625,0.25,7,1569,,,,,
9.994592983275652e-05,0.7403564453125,0.5,7,1579,,,,,
9.994519496103749e-05,0.552734375,1.0,7,1589,,,,,
9.994446008931845e-05,1.017578125,0.0,7,1599,,,,,
,,,7,1599,1.034441351890564,0.5178292989730835,0.8849746584892273,,
,,,7,1599,,,,0.9906965494155884,0.5508334636688232
9.99437106656842e-05,0.7379150390625,0.25,8,1609,,,,,
9.994296851800755e-05,1.07080078125,1.0,8,1619,,,,,
9.994221181841567e-05,1.85693359375,0.0,8,1629,,,,,
9.99414551188238e-05,0.48272705078125,1.0,8,1639,,,,,
9.994069114327431e-05,0.28094482421875,1.0,8,1649,,,,,
9.99399198917672e-05,1.14990234375,0.0,8,1659,,,,,
9.99391486402601e-05,0.64990234375,1.0,8,1669,,,,,
9.993837011279538e-05,0.87310791015625,0.25,8,1679,,,,,
9.993759158533067e-05,0.7169189453125,1.0,8,1689,,,,,
9.993679850595072e-05,0.107177734375,1.0,8,1699,,,,,
9.993600542657077e-05,0.54827880859375,1.0,8,1709,,,,,
9.993521234719083e-05,1.05322265625,0.3333333432674408,8,1719,,,,,
9.993440471589565e-05,0.5626220703125,1.0,8,1729,,,,,
9.993359708460048e-05,0.36572265625,1.0,8,1739,,,,,
9.99327894533053e-05,0.6868896484375,0.25,8,1749,,,,,
9.99319672700949e-05,2.027099609375,0.5,8,1759,,,,,
9.99311450868845e-05,1.55322265625,0.3333333432674408,8,1769,,,,,
9.99303229036741e-05,0.968505859375,1.0,8,1779,,,,,
9.992948616854846e-05,1.081298828125,0.3333333432674408,8,1789,,,,,
9.992864943342283e-05,0.30517578125,1.0,8,1799,,,,,
,,,8,1799,1.0332162380218506,0.4623306393623352,0.8865845799446106,,
,,,8,1799,,,,0.9517996311187744,0.5737502574920654
9.992780542233959e-05,0.3563232421875,1.0,9,1809,,,,,
9.992696141125634e-05,1.934814453125,0.3333333432674408,9,1819,,,,,
9.992611012421548e-05,0.535400390625,1.0,9,1829,,,,,
9.992525156121701e-05,0.1708984375,1.0,9,1839,,,,,
9.992439299821854e-05,1.15478515625,0.3333333432674408,9,1849,,,,,
9.992351988330483e-05,2.327392578125,0.3333333432674408,9,1859,,,,,
9.992265404434875e-05,1.629150390625,0.25,9,1869,,,,,
9.992177365347743e-05,1.605743408203125,0.3333333432674408,9,1879,,,,,
9.992089326260611e-05,0.240478515625,1.0,9,1889,,,,,
9.992000559577718e-05,1.4420623779296875,0.3333333432674408,9,1899,,,,,
9.991911792894825e-05,2.4375,0.0,9,1909,,,,,
9.99182157102041e-05,3.509765625,0.0,9,1919,,,,,
9.991731349145994e-05,0.67138671875,1.0,9,1929,,,,,
9.991641127271578e-05,0.4043121337890625,1.0,9,1939,,,,,
9.9915501778014e-05,2.36328125,0.0,9,1949,,,,,
9.991458500735462e-05,0.8997802734375,0.25,9,1959,,,,,
9.991366096073762e-05,1.0205078125,0.5,9,1969,,,,,
9.991273691412061e-05,0.652374267578125,0.5,9,1979,,,,,
9.9911805591546e-05,0.123779296875,1.0,9,1989,,,,,
9.991086699301377e-05,0.040924072265625,1.0,9,1999,,,,,
,,,9,1999,1.0003423690795898,0.5274656414985657,0.8919823169708252,,
,,,9,1999,,,,0.8977035880088806,0.5895834565162659
9.990992839448154e-05,0.179718017578125,1.0,10,2009,,,,,
9.99089825199917e-05,1.17529296875,0.3333333432674408,10,2019,,,,,
9.990802936954424e-05,1.277099609375,0.5,10,2029,,,,,
9.990707621909678e-05,1.34619140625,0.3333333432674408,10,2039,,,,,
9.990611579269171e-05,1.16455078125,0.25,10,2049,,,,,
9.990514809032902e-05,0.477294921875,1.0,10,2059,,,,,
9.990418038796633e-05,0.6737518310546875,0.3333333432674408,10,2069,,,,,
9.990320540964603e-05,0.133697509765625,1.0,10,2079,,,,,
9.990222315536812e-05,1.0955657958984375,0.25,10,2089,,,,,
9.99012409010902e-05,1.048828125,0.25,10,2099,,,,,
9.990024409489706e-05,1.151611328125,0.25,10,2109,,,,,
9.989925456466153e-05,0.2900390625,1.0,10,2119,,,,,
9.989825048251078e-05,0.0735931396484375,1.0,10,2129,,,,,
9.989724640036002e-05,1.5712890625,0.3333333432674408,10,2139,,,,,
9.989623504225165e-05,1.077392578125,0.0,10,2149,,,,,
9.989522368414328e-05,1.41839599609375,0.25,10,2159,,,,,
9.989420505007729e-05,0.167205810546875,1.0,10,2169,,,,,
9.989317914005369e-05,0.5296630859375,1.0,10,2179,,,,,
9.989214595407248e-05,0.03435516357421875,1.0,10,2189,,,,,
9.989111276809126e-05,0.001129150390625,1.0,10,2199,,,,,
,,,10,2199,1.1407424211502075,0.4259049892425537,0.8970728516578674,,
,,,10,2199,,,,0.8724278807640076,0.5804168581962585
9.989007230615243e-05,0.6412353515625,0.3333333432674408,11,2209,,,,,
9.98890318442136e-05,0.87060546875,0.3333333432674408,11,2219,,,,,
9.988797683035955e-05,0.0684051513671875,1.0,11,2229,,,,,
9.988692181650549e-05,0.84423828125,0.3333333432674408,11,2239,,,,,
9.988586680265144e-05,0.568603515625,1.0,11,2249,,,,,
9.988480451283976e-05,1.0546875,0.3333333432674408,11,2259,,,,,
9.988373494707048e-05,0.63690185546875,0.3333333432674408,11,2269,,,,,
9.988265810534358e-05,1.0308837890625,0.5,11,2279,,,,,
9.988158126361668e-05,1.6689453125,0.0,11,2289,,,,,
9.988049714593217e-05,0.157867431640625,1.0,11,2299,,,,,
9.987940575229004e-05,1.25830078125,0.25,11,2309,,,,,
9.987831435864791e-05,1.433990478515625,0.3333333432674408,11,2319,,,,,
9.987721568904817e-05,0.29107666015625,1.0,11,2329,,,,,
9.987610974349082e-05,0.42236328125,1.0,11,2339,,,,,
9.987500379793346e-05,1.050262451171875,0.3333333432674408,11,2349,,,,,
9.987389057641849e-05,0.273681640625,1.0,11,2359,,,,,
9.98727700789459e-05,0.24462890625,1.0,11,2369,,,,,
9.98716423055157e-05,0.5552978515625,0.5,11,2379,,,,,
9.987051453208551e-05,0.2269287109375,1.0,11,2389,,,,,
9.986938675865531e-05,0.022308349609375,1.0,11,2399,,,,,
,,,11,2399,1.0002198219299316,0.5560876727104187,0.8970664143562317,,
,,,11,2399,,,,0.8722804188728333,0.6112502217292786
9.986824443330988e-05,0.219573974609375,1.0,12,2409,,,,,
9.986710210796446e-05,0.22088623046875,1.0,12,2419,,,,,
9.986595250666142e-05,0.0343170166015625,1.0,12,2429,,,,,
9.986480290535837e-05,0.5751953125,0.5,12,2439,,,,,
9.986364602809772e-05,0.9759521484375,0.3333333432674408,12,2449,,,,,
9.986248187487945e-05,0.48865509033203125,0.3333333432674408,12,2459,,,,,
9.986131044570357e-05,0.7733306884765625,0.25,12,2469,,,,,
9.986013901652768e-05,1.291900634765625,0.25,12,2479,,,,,
9.985896031139418e-05,0.5085296630859375,0.5,12,2489,,,,,
9.985778160626069e-05,0.26470947265625,1.0,12,2499,,,,,
9.985658834921196e-05,1.0404052734375,0.3333333432674408,12,2509,,,,,
9.985540236812085e-05,0.41339111328125,1.0,12,2519,,,,,
9.985420183511451e-05,0.7159423828125,0.3333333432674408,12,2529,,,,,
9.985300130210817e-05,0.65643310546875,0.3333333432674408,12,2539,,,,,
9.985179349314421e-05,1.41357421875,0.0,12,2549,,,,,
9.985057840822265e-05,0.34197998046875,1.0,12,2559,,,,,
